timestamp,ecg,pnum,condition
1671245606.422,660,4,stress
1671245607.082,693,4,stress
1671245607.775,639,4,stress
1671245608.414,640,4,stress
1671245609.054,630,4,stress
1671245609.684,635,4,stress
1671245610.319,639,4,stress
1671245610.958,641,4,stress
1671245611.599,654,4,stress
1671245612.253,679,4,stress
1671245612.932,641,4,stress
1671245613.573,686,4,stress
1671245614.259,643,4,stress
1671245614.902,665,4,stress
1671245615.567,647,4,stress
1671245616.214,649,4,stress
1671245616.863,647,4,stress
1671245617.51,640,4,stress
1671245618.15,639,4,stress
1671245618.789,641,4,stress
1671245619.43,636,4,stress
1671245620.066,628,4,stress
1671245620.694,629,4,stress
1671245621.323,599,4,stress
1671245621.922,606,4,stress
1671245622.528,613,4,stress
1671245623.141,607,4,stress
1671245623.748,598,4,stress
1671245624.346,607,4,stress
1671245624.953,617,4,stress
1671245625.57,636,4,stress
1671245626.206,645,4,stress
1671245626.851,626,4,stress
1671245627.477,637,4,stress
1671245628.114,626,4,stress
1671245628.74,626,4,stress
1671245629.366,610,4,stress
1671245629.976,585,4,stress
1671245630.561,579,4,stress
1671245631.14,583,4,stress
1671245631.723,595,4,stress
1671245632.318,607,4,stress
1671245632.925,634,4,stress
1671245633.559,646,4,stress
1671245634.205,648,4,stress
1671245634.853,649,4,stress
1671245635.502,661,4,stress
1671245636.163,651,4,stress
1671245636.814,675,4,stress
1671245637.489,676,4,stress
1671245638.165,661,4,stress
1671245638.826,638,4,stress
1671245639.464,628,4,stress
1671245640.092,631,4,stress
1671245640.723,633,4,stress
1671245641.356,653,4,stress
1671245642.009,620,4,stress
1671245642.629,627,4,stress
1671245643.256,607,4,stress
1671245643.863,598,4,stress
1671245644.461,586,4,stress
1671245645.047,581,4,stress
1671245645.628,589,4,stress
1671245646.217,604,4,stress
1671245646.821,623,4,stress
1671245647.444,657,4,stress
1671245648.101,640,4,stress
1671245648.741,668,4,stress
1671245649.409,644,4,stress
1671245650.053,686,4,stress
